Node,to_Node,distance
Lithuania,NO2,1117.9291197095458
Luxemb.,NO2,1059.044468999489
Latvia,NO2,1128.0905649263361
Macedonia,NO2,2226.8366654461593
Netherlands,NO2,792.8457233728128
NO1,NO2,229.90241663799918
Austria,NO3,1788.16817285685
Bosnia H,NO3,2207.473464864887
Belgium,NO3,1452.111823438981
Bulgaria,NO3,2510.0280787718225
Switzerland,NO3,1852.617591641265
Czech R,NO3,1524.5599404394457
Germany,NO3,1366.719282522252
Denmark,NO3,788.8836763023387
Estonia,NO3,945.4233712509769
Spain,NO3,2770.7660836816726
Finland,NO3,826.8723025872405
France,NO3,1930.2061512424962
Great Brit.,NO3,1382.4535242920397
Greece,NO3,2822.7586737385145
Croatia,NO3,2023.1319749000063
Hungary,NO3,1898.716973795027
Ireland,NO3,1597.378212799759
Italy,NO3,2118.9169085948015
Lithuania,NO3,1183.4788190450256
Luxemb.,NO3,1539.5886315191387
Latvia,NO3,1108.4976743553505
Macedonia,NO3,2550.73417401739
Netherlands,NO3,1279.7925581853233
NO1,NO3,338.2935589400283
NO2,NO3,492.4808443704269
Austria,NO4,2362.523143728722
Bosnia H,NO4,2744.368694513736
Belgium,NO4,2105.9589155123094
Bulgaria,NO4,2948.7920078797656
Switzerland,NO4,2484.6749023557163
Czech R,NO4,2087.99960856727
Germany,NO4,1984.6799207985694
Denmark,NO4,1428.4847640161759
Estonia,NO4,1155.9708568654528
Spain,NO4,3427.9207773965763
Finland,NO4,673.7129393316822
France,NO4,2585.3411344545125
Great Brit.,NO4,2030.0485677777483
Greece,NO4,3320.1378253624475
Croatia,NO4,2571.422424377442
Hungary,NO4,2415.3613700015667
Ireland,NO4,2197.49439458484
Italy,NO4,2727.8530993421996
Lithuania,NO4,1522.2916290497863
Luxemb.,NO4,2186.7333626636278
Latvia,NO4,1373.5591370719123
Macedonia,NO4,3043.330673721315
Netherlands,NO4,1932.4754696786194
NO1,NO4,973.2372625490821
NO2,NO4,1149.6344568228626
NO3,NO4,657.2589839753997
Austria,NO5,1591.479665405683
Bosnia H,NO5,2038.938768588869
Belgium,NO5,1138.5955450069487
Bulgaria,NO5,2418.850549412102
Switzerland,NO5,1579.433397706683
Czech R,NO5,1349.6928293491208
Germany,NO5,1126.997645473177
Denmark,NO5,541.2727345680072
Estonia,NO5,1104.467079222328
Spain,NO5,2431.6815320016767
Finland,NO5,1137.5144612023605
France,NO5,1608.6559949008993
Great Brit.,NO5,1028.8872479023453
Greece,NO5,2678.309955770928
Croatia,NO5,1847.7939077818664
Hungary,NO5,1757.8546067861876
Ireland,NO5,1249.468818493412
Italy,NO5,1874.100311297497
Lithuania,NO5,1233.1700461437345
Luxemb.,NO5,1243.0198152807066
Latvia,NO5,1214.9215632600458
Macedonia,NO5,2414.9945375781026
