Between node,And node,Period,Pipeline capacity built [kg],Pipeline total capacity [kg],Discounted cost of (newly) built pipeline [EUR],Expected hydrogen transmission [tons]
Germany,CzechR,2055-2060,0.0,1191585.4884034623,0.0,0.0
Poland,CzechR,2020-2025,0.06765608483078452,0.06765608483078452,361.63388150556653,0.19678015045015046
Poland,CzechR,2025-2030,0.0073198407263542625,0.07497585083778488,30.656134060662914,0.22252309936258288
Poland,CzechR,2030-2035,0.02023247604081085,0.09520825216605515,63.355463751169744,0.2799697670573107
Poland,CzechR,2035-2040,0.026403727246237848,0.12161190469666909,60.818675891570265,0.3577899424681048
Poland,CzechR,2040-2045,0.032401577650090094,0.1540134076222101,53.614322845427196,0.4476870378354083
Poland,CzechR,2045-2050,0.04558614985552709,0.19959948276287443,52.25930203539369,0.594743477380635
Poland,CzechR,2050-2055,0.014496750657714984,0.21409615872174093,10.845331559036389,0.6540276180650578
Poland,CzechR,2055-2060,0.00018799103504489668,0.21428407502936717,0.08197749653985503,0.6495540792815712
Slovakia,CzechR,2020-2025,0.12171099493176157,0.12171099493176157,362.4048556744121,0.35519993501862496
Slovakia,CzechR,2025-2030,0.012914320090770214,0.13462524030355763,30.12931420447552,0.399722164835509
Slovakia,CzechR,2030-2035,0.057816874767492386,0.19244204035280202,100.85364450286414,0.7465684137163477
Slovakia,CzechR,2035-2040,0.04187697520818676,0.23431894084734026,53.73397543571316,0.5370668320689964
Slovakia,CzechR,2040-2045,0.04252315856842726,0.27684202468297414,39.19603429642568,0.8048973457088474
Slovakia,CzechR,2045-2050,0.12303631032852033,0.39987826031416834,78.57166109808831,1.4102824345113176
Slovakia,CzechR,2050-2055,0.0007121143124731098,0.4005902999332159,0.29677261513556796,1.1069410002371318
Slovakia,CzechR,2055-2060,0.00027516125418164546,0.4008653864542285,0.06684158465848296,1.3140584848367272
Denmark,Germany,2020-2025,0.0031910863378089363,0.0031910863378089363,0.0,0.005542261295613784
Denmark,Germany,2025-2030,685.5340410834868,685.5372321698246,0.0,493.87302628932224
Denmark,Germany,2030-2035,524778.6686162871,525464.205848457,0.0,1031400.593556756
Denmark,Germany,2035-2040,150623.27151883987,676087.4773672968,0.0,1040092.3375633294
Denmark,Germany,2040-2045,836188.625208758,1512276.1025760549,0.0,2845020.9804748506
Denmark,Germany,2045-2050,125684.8017057518,1637960.9042818067,0.0,2931267.136010257
Denmark,Germany,2050-2055,533355.8000108935,2171316.7042927,0.0,3976983.213765198
Denmark,Germany,2055-2060,0.0,2171316.7042927,0.0,3918416.499006081
France,Germany,2020-2025,0.0036254236984365126,0.0036254236984365126,0.0,2.9371406654572948e-05
France,Germany,2025-2030,1028.4264453994922,1028.4300708231906,0.0,0.0
France,Germany,2030-2035,198476.95101141487,199505.38108223808,0.0,6.4817608525343955
France,Germany,2035-2040,37168.25621550772,236673.6372977458,0.0,182.26874302806303
France,Germany,2040-2045,326778.38186720514,563452.0191649509,0.0,66.90512617916335
France,Germany,2045-2050,82223.59383731394,645675.6130022649,0.0,27.9374131263315
France,Germany,2050-2055,395348.58337306697,1041024.1963753318,0.0,29.258148604469717
France,Germany,2055-2060,0.0,1041024.1963753318,0.0,0.0
Italy,Germany,2020-2025,0.004643126498590944,0.004643126498590944,0.0,0.0
Italy,Germany,2025-2030,1068.0148824054606,1068.0195255319593,0.0,9355.677395781955
Italy,Germany,2030-2035,151911.75688312488,152979.77640865685,0.0,0.0
Italy,Germany,2035-2040,25172.550394430204,178152.32680308705,0.0,0.0
Italy,Germany,2040-2045,315596.57914445107,493748.90594753815,0.0,0.0
Italy,Germany,2045-2050,31200.55163444206,524949.4575819802,0.0,0.0
Italy,Germany,2050-2055,170447.95413216692,695397.4117141471,0.0,0.0
Italy,Germany,2055-2060,-1.1641532182693481e-10,695397.4117141471,-0.0,0.0
Luxemb.,Germany,2020-2025,0.00047202972180071523,0.00047202972180071523,0.0,0.0007204791504146155
Luxemb.,Germany,2025-2030,0.001039680969081129,0.0015117106908818442,0.0,0.0023196577293841543
Luxemb.,Germany,2030-2035,11636.892429439673,11636.893941150363,0.0,0.0
Luxemb.,Germany,2035-2040,2920.034706378943,14556.928647529307,0.0,0.0
Luxemb.,Germany,2040-2045,24030.787892676453,38587.71654020576,0.0,0.0
Luxemb.,Germany,2045-2050,14126.812816281694,52714.52935648745,0.0,0.0
Luxemb.,Germany,2050-2055,24300.53591581982,77015.06527230727,0.0,0.0
Luxemb.,Germany,2055-2060,0.0,77015.06527230727,0.0,0.0
Netherlands,Germany,2020-2025,0.0023857612284416407,0.0023857612284416407,0.0,0.0006290460477720472
Netherlands,Germany,2025-2030,0.008110857223202143,0.010496618451643784,0.0,0.0019849038837290497
Netherlands,Germany,2030-2035,151640.99482756515,151641.0053241836,0.0,0.0
Netherlands,Germany,2035-2040,14880.23554089648,166521.2408650801,0.0,0.0
Netherlands,Germany,2040-2045,268621.41366858885,435142.65453366895,0.0,0.0
Netherlands,Germany,2045-2050,33557.90530293522,468700.55983660417,0.0,0.0
Netherlands,Germany,2050-2055,50833.506952181226,519534.0667887854,0.0,0.0
Netherlands,Germany,2055-2060,8112.654915655381,527646.7217044408,0.0,0.0
NO2,Germany,2020-2025,0.002365566724956615,0.002365566724956615,0.0,0.003236482376323254
NO2,Germany,2025-2030,0.008656173807569122,0.011021740532525737,0.0,0.012031087601011145
NO2,Germany,2030-2035,110314.33719390476,110314.3482156453,0.0,0.0020062242697046293
NO2,Germany,2035-2040,0.0,110314.3482156453,0.0,0.02147754499736527
NO2,Germany,2040-2045,303079.4008867505,413393.7491023958,0.0,0.02530933734312658
NO2,Germany,2045-2050,74820.08723338932,488213.8363357851,0.0,0.016016729658332163
NO2,Germany,2050-2055,85716.10702233377,573929.9433581189,0.0,171401.33300215268
NO2,Germany,2055-2060,-5.820766091346741e-11,573929.9433581189,-0.0,179239.55812790318
Poland,Germany,2020-2025,0.0005976568024145118,0.0005976568024145118,0.0,0.0024097884383054435
Poland,Germany,2025-2030,303.20436639546415,303.2049640522666,0.0,1998.8197608216424
Poland,Germany,2030-2035,513713.66762739554,514016.8725914478,0.0,3078842.3073907224
Poland,Germany,2035-2040,41593.335132158594,555610.2077236064,0.0,3487041.8715126175
Poland,Germany,2040-2045,849132.6545707523,1404742.8622943587,0.0,8917016.39088622
Poland,Germany,2045-2050,92281.72711328394,1497024.5894076426,0.0,9746944.614940984
