Node,Period,New capacity [MW],Total capacity [MW],New capacity [kg/h],Total capacity [kg/h],Expected annual power usage [MWh],Expected annual hydrogen production [kg],Expected marginal price of hydrogen [EUR/kg]
Estonia,2055-2060,1.6122400754578135e-07,9.961587739918769e-05,3.3941896325427657e-06,0.0020971763662986885,0.6432775005015796,13.542684221085887,1.0638412541985987
Spain,2020-2025,5.572591831003842e-06,5.572591831003842e-06,0.00010131985147279713,0.00010131985147279713,0.01701329272335314,0.3093325949700571,0.0
Spain,2025-2030,4.15155494220992e-06,9.723628449314374e-06,7.907723699447467e-05,0.00018521197046313093,0.040054190177875745,0.7629369557690618,3.131546884363382
Spain,2030-2035,2.2446861347476795e-05,3.216997147479866e-05,0.00042755926376146275,0.0006127613614247364,0.1616399785993106,3.0788567352249636,2.9577622662097456
Spain,2035-2040,4.180209650735654e-05,7.397154965506258e-05,0.0008800441369969798,0.001557295782211844,0.42789129507361023,9.008237791023372,2.2374256256310456
Spain,2040-2045,0.00022094056392252758,0.0002893392629102115,0.004651380293105844,0.006091352903372874,1.555928181979468,32.75638277851511,1.5035745836021606
Spain,2045-2050,8.386840024528079e-08,0.00028527157674868974,1.7656505314795957e-06,0.006005717405235574,1.3430708105016418,28.275174957929302,1.3013181190455634
Spain,2050-2055,4798.967050264604,4798.96731326351,101030.88526872851,101030.89080554758,33176273.634290658,698447865.9850665,1.1078986975770984
Spain,2055-2060,6.831722152556038e-08,4798.967271138707,1.4382572952749554e-06,101030.88991870962,39387875.501437314,829218431.6092066,1.075961990448819
Finland,2020-2025,5.619128220732563e-06,5.619128220732563e-06,0.00010216596764968296,0.00010216596764968296,0.017068846348299832,0.31034266087817874,0.0
Finland,2025-2030,4.4965250040067844e-06,1.0115134901788173e-05,8.564809531441495e-05,0.00019266923622453662,0.044107099584357795,0.8401352301782438,0.0
Finland,2030-2035,5.0924296337338446e-05,6.103891291506465e-05,0.0009699865969016847,0.0011626459602869458,0.355320850036773,6.768016191176629,2.8716758471249557
Finland,2035-2040,1.1196987741637942e-07,6.115036447017593e-05,2.3572605771869354e-06,0.0012873760941089672,0.3328925621185655,7.00826446565401,2.1708866427375275
