Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
NO5,Hydrorun-of-the-river,2055-2060,3675.94143913099
GreatBrit.,Hydrorun-of-the-river,2020-2025,7074.653217295004
GreatBrit.,Hydrorun-of-the-river,2025-2030,3297.6747582739254
GreatBrit.,Hydrorun-of-the-river,2030-2035,3295.229651079965
GreatBrit.,Hydrorun-of-the-river,2035-2040,8186.635419408524
GreatBrit.,Hydrorun-of-the-river,2040-2045,2835.051379113841
GreatBrit.,Hydrorun-of-the-river,2045-2050,5269.065683208199
GreatBrit.,Hydrorun-of-the-river,2050-2055,7135.298837638171
GreatBrit.,Hydrorun-of-the-river,2055-2060,1723.1932582801996
Croatia,Hydrorun-of-the-river,2020-2025,0.00016878307140942418
Croatia,Hydrorun-of-the-river,2025-2030,0.0005392150302090397
Croatia,Hydrorun-of-the-river,2030-2035,0.0006927131747263616
Croatia,Hydrorun-of-the-river,2035-2040,0.0006067562346123551
Croatia,Hydrorun-of-the-river,2040-2045,0.003020201454393454
Croatia,Hydrorun-of-the-river,2045-2050,0.006506528548853188
Croatia,Hydrorun-of-the-river,2050-2055,0.009677221819140495
Croatia,Hydrorun-of-the-river,2055-2060,0.015779485977123232
Lithuania,Hydrorun-of-the-river,2020-2025,0.00013540183699884808
Lithuania,Hydrorun-of-the-river,2025-2030,47.34825112123278
Lithuania,Hydrorun-of-the-river,2030-2035,58.6044675447217
Lithuania,Hydrorun-of-the-river,2035-2040,75.41385094229656
Lithuania,Hydrorun-of-the-river,2040-2045,0.008653535705137137
Lithuania,Hydrorun-of-the-river,2045-2050,82.22365848864682
Lithuania,Hydrorun-of-the-river,2050-2055,77.70105877691313
Lithuania,Hydrorun-of-the-river,2055-2060,0.02346241820078016
Macedonia,Hydrorun-of-the-river,2020-2025,0.00012641650958080574
Macedonia,Hydrorun-of-the-river,2025-2030,0.00010540437164561085
Macedonia,Hydrorun-of-the-river,2030-2035,0.0006601966877381113
Macedonia,Hydrorun-of-the-river,2035-2040,0.0010113730655940494
Macedonia,Hydrorun-of-the-river,2040-2045,0.00474921129659283
Macedonia,Hydrorun-of-the-river,2045-2050,9.714742257182248
Macedonia,Hydrorun-of-the-river,2050-2055,6.019139787117186
Macedonia,Hydrorun-of-the-river,2055-2060,0.016220374070235435
Serbia,Hydrorun-of-the-river,2020-2025,0.0002629701363499808
Serbia,Hydrorun-of-the-river,2025-2030,1666.693561624988
Serbia,Hydrorun-of-the-river,2030-2035,3548.053789118145
Serbia,Hydrorun-of-the-river,2035-2040,3008.0470278352755
Serbia,Hydrorun-of-the-river,2040-2045,3407.055422195609
Serbia,Hydrorun-of-the-river,2045-2050,3517.060348644973
