Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
Lithuania,Hydrorun-of-the-river,2025-2030,12.181872772605152
Lithuania,Hydrorun-of-the-river,2030-2035,51.388021429085214
Lithuania,Hydrorun-of-the-river,2035-2040,9.034537138558424
Lithuania,Hydrorun-of-the-river,2040-2045,0.12984594856118567
Lithuania,Hydrorun-of-the-river,2045-2050,0.10189258069200903
Lithuania,Hydrorun-of-the-river,2050-2055,15.210625474121304
Lithuania,Hydrorun-of-the-river,2055-2060,0.20733108208050607
Macedonia,Hydrorun-of-the-river,2020-2025,0.0008576613581480315
Macedonia,Hydrorun-of-the-river,2025-2030,0.0007803496918286904
Macedonia,Hydrorun-of-the-river,2030-2035,0.007311502991782975
Macedonia,Hydrorun-of-the-river,2035-2040,0.016865801638927994
Macedonia,Hydrorun-of-the-river,2040-2045,0.05141562222317262
Macedonia,Hydrorun-of-the-river,2045-2050,0.08932875190314976
Macedonia,Hydrorun-of-the-river,2050-2055,0.13466910702666018
Macedonia,Hydrorun-of-the-river,2055-2060,0.10271266286192973
Serbia,Hydrorun-of-the-river,2020-2025,0.0013157670818956713
Serbia,Hydrorun-of-the-river,2025-2030,1835.6527613399846
Serbia,Hydrorun-of-the-river,2030-2035,2242.5463956396056
Serbia,Hydrorun-of-the-river,2035-2040,3088.2851500949437
Serbia,Hydrorun-of-the-river,2040-2045,1868.9560795760065
Serbia,Hydrorun-of-the-river,2045-2050,1312.049090989744
Serbia,Hydrorun-of-the-river,2050-2055,3407.2792749986957
Serbia,Hydrorun-of-the-river,2055-2060,2379.8038480398836
Slovakia,Hydrorun-of-the-river,2020-2025,0.0011115644569470735
Slovakia,Hydrorun-of-the-river,2025-2030,0.0006985660797871808
Slovakia,Hydrorun-of-the-river,2030-2035,167.6971831675792
Slovakia,Hydrorun-of-the-river,2035-2040,0.002788984156835309
Slovakia,Hydrorun-of-the-river,2040-2045,0.027289222063951898
Slovakia,Hydrorun-of-the-river,2045-2050,0.01632164240710582
Slovakia,Hydrorun-of-the-river,2050-2055,0.07080801655896957
Slovakia,Hydrorun-of-the-river,2055-2060,0.05583850752232132
BosniaH,Hydrorun-of-the-river,2020-2025,0.0
BosniaH,Hydrorun-of-the-river,2025-2030,0.0
BosniaH,Hydrorun-of-the-river,2030-2035,0.0
BosniaH,Hydrorun-of-the-river,2035-2040,0.0
BosniaH,Hydrorun-of-the-river,2040-2045,0.0
BosniaH,Hydrorun-of-the-river,2045-2050,0.0
BosniaH,Hydrorun-of-the-river,2050-2055,0.0
BosniaH,Hydrorun-of-the-river,2055-2060,0.0
Austria,Windonshore,2020-2025,0.0010179171138529814
Austria,Windonshore,2025-2030,11.070616090265972
Austria,Windonshore,2030-2035,0.04861567993947666
Austria,Windonshore,2035-2040,4.796568078111108
