BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInvCapMax_MW,transmissionInstalledCap_MW,transmissionInstalledCapMax_MW,DiscountedInvestmentCost_Euro,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
Italy,Austria,2050-2055,1.998822168091986e-08,20000.0,921.4799235153694,2295.0,0.002459051767854051,5193.91515961216,155.81745478836515
Italy,Austria,2055-2060,3.234208198672728e-08,20000.0,921.4799235956264,2295.0,0.002319246105265214,4949.367416859406,148.48102250578265
Slovenia,Austria,2020-2025,0.0,20000,950.0,950.0,0.0,3342.545940281349,100.27637820844079
Slovenia,Austria,2025-2030,0.0,20000.0,950.0,950.0,0.0,7311.12875049304,219.33386251479135
Slovenia,Austria,2030-2035,109.02947134887904,20000.0,1059.029471348879,1950.0,20402512.672916044,6407.1743758886305,192.2152312766595
Slovenia,Austria,2035-2040,890.9705255599575,20000.0,1949.9999969068438,1950.0,122642154.32066332,16424.147028083844,492.72441084251443
Slovenia,Austria,2040-2045,999.9999993858376,20000.0,2949.9999962944844,2950.0,98882486.50238557,21247.622397277493,637.4286719183264
Slovenia,Austria,2045-2050,1.2276093345935483e-07,20000.0,2949.999996422021,2950.0,0.008409992022922108,23411.929416481937,702.3578824944569
Slovenia,Austria,2050-2055,9.130937680983451e-09,20000.0,2949.9999964179483,2950.0,0.0004082180968788114,21781.183384541506,653.4355015362466
Slovenia,Austria,2055-2060,1.8562872685641742e-08,20000.0,2949.999996439113,2950.0,0.0004837348860969655,21324.89408401305,639.7468225203919
Slovakia,Austria,2020-2025,0.0,20000,0.0,0.0,0.0,0.0,0.0
Slovakia,Austria,2025-2030,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
Slovakia,Austria,2030-2035,999.9999901538456,20000.0,999.9999901538456,1000.0,37021809.2859489,6886.663280345861,206.5998984103758
Slovakia,Austria,2035-2040,6.734719045329316e-06,20000.0,999.9999968880464,1000.0,0.18340611428359377,8008.907608676609,240.26722826029888
Slovakia,Austria,2040-2045,4.821899619280229e-08,20000.0,999.9999969357469,1000.0,0.0009433121704017731,7693.486615473005,230.80459846419075
Slovakia,Austria,2045-2050,3.857209125034888e-08,20000.0,999.9999969738008,1000.0,0.0005227890479437611,8078.861078680238,242.3658323604077
Slovakia,Austria,2050-2055,8.172824688039665e-09,20000.0,999.9999969814536,1000.0,7.228812358100616e-05,7749.868216848514,232.49604650545518
Slovakia,Austria,2055-2060,1.6243928448226847e-08,20000.0,999.9999969971809,1000.0,8.374737136172376e-05,7803.085702610196,234.09257107830678
Croatia,BosniaH,2020-2025,0.0,20000,750.0,750.0,0.0,3375.2533533166543,101.25760059949944
Croatia,BosniaH,2025-2030,0.0,20000.0,750.0,750.0,0.0,3506.313429848927,105.18940289546796
Croatia,BosniaH,2030-2035,0.0,20000.0,750.0,750.0,0.0,3228.0563738070296,96.84169121421094
Croatia,BosniaH,2035-2040,0.0,20000.0,750.0,750.0,0.0,4520.106625010176,135.60319875030578
Croatia,BosniaH,2040-2045,3.216644017811632e-08,20000.0,750.0000000321664,1894.0,0.0033408766039539086,4793.670988391055,143.8101296517317
Croatia,BosniaH,2045-2050,2.1852798483210807e-07,20000.0,750.0000002501762,1894.0,0.015724633001053402,4381.085117876553,131.43255353629655
Croatia,BosniaH,2050-2055,1.92503040007667e-07,20000.0,750.0000004421609,1894.0,0.00903966888154058,4830.219562915352,144.9065868874608
Croatia,BosniaH,2055-2060,1.2041242088982642e-07,20000.0,750.000000562055,1894.0,0.0032958813315743804,4997.59762158419,149.92792864752562
Italy,BosniaH,2020-2025,0.0,20000,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2025-2030,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2030-2035,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2035-2040,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2040-2045,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2045-2050,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2050-2055,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
Italy,BosniaH,2055-2060,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
Serbia,BosniaH,2020-2025,0.0,20000,600.0,600.0,0.0,1395.115675607834,41.85347026823507
Serbia,BosniaH,2025-2030,0.0,20000.0,600.0,600.0,0.0,1501.2943683683116,45.03883105104939
Serbia,BosniaH,2030-2035,0.0,20000.0,600.0,600.0,0.0,4021.4600259560034,120.64380077868019
Serbia,BosniaH,2035-2040,0.0,20000.0,600.0,600.0,0.0,3889.2930153602288,116.67879046080712
Serbia,BosniaH,2040-2045,717.1629185719885,20000.0,1317.1629185719885,1950.0,49232253.82459371,8521.188408525153,255.6356522557543
Serbia,BosniaH,2045-2050,632.8370265303629,20000.0,1949.99994512985,1950.0,30098149.57566228,14304.46408177398,429.1339224532211
Serbia,BosniaH,2050-2055,1.39398827078885e-07,20000.0,1949.999945251491,1950.0,0.0043266175505643,12846.543459263745,385.3963037779121
Serbia,BosniaH,2055-2060,3.0085971137531134e-05,20000.0,1949.9999753190098,1950.0,0.5443005468368326,13608.94674631588,408.2684023894775
Germany,Belgium,2020-2025,0.0,20000.0,1000.0,1000.0,0.0,6211.940889237791,186.35822667713356
Germany,Belgium,2025-2030,999.9999909639082,20000.0,1999.9999909639082,2000.0,0.0,17279.475451291273,518.38426353874
Germany,Belgium,2030-2035,3.872827868733147e-06,20000.0,1999.9999948362176,2000.0,0.0,17460.134105162047,523.8040231548629
Germany,Belgium,2035-2040,5.497333477301806e-08,20000.0,1999.9999948906732,2000.0,0.0,16562.74109963397,496.88223298901863
Germany,Belgium,2040-2045,4.211867153391763e-09,20000.0,1999.9999948943666,2000.0,0.0,14697.722187582693,440.9316656274818
Germany,Belgium,2045-2050,5.2260822585937255e-09,20000.0,1999.999994899074,2000.0,0.0,10833.786351287215,325.01359053861796
Germany,Belgium,2050-2055,1.0189361351540734e-08,20000.0,1999.9999949087446,2000.0,0.0,6609.166127048354,198.27498381145054
Germany,Belgium,2055-2060,5.088663282318461e-06,20000.0,2000.0,2000.0,0.0,8174.979456921991,245.24938370765975
France,Belgium,2020-2025,0.0,20000.0,3300.0,3300.0,0.0,17113.24303210175,513.3972909630537
France,Belgium,2025-2030,49.99999210381186,20000.0,3349.999992103812,3350.0,0.0,11029.979157077074,330.8993747123127
France,Belgium,2030-2035,2999.999921005823,20000.0,6349.999911100209,6350.0,0.0,12085.07872415389,362.5523617246161
France,Belgium,2035-2040,3.8847914580315665e-05,20000.0,6349.999949631575,6350.0,0.0,10281.32307009807,308.43969210294284
France,Belgium,2040-2045,1000.0000246192939,20000.0,7349.999974519262,7350.0,0.0,26543.443592256175,796.3033077676847
France,Belgium,2045-2050,1.3302129054193917e-07,20000.0,7349.999974622973,7350.0,0.0,24885.195729754836,746.5558718926453
France,Belgium,2050-2055,1.2680164322862798e-07,20000.0,7349.999974757859,7350.0,0.0,24297.243849993174,728.9173154997977
France,Belgium,2055-2060,2.316333351532775e-05,20000.0,7350.0,7350.0,0.0,25238.51319463287,757.1553958389862
GreatBrit.,Belgium,2020-2025,0.0,20000.0,1000.0,1000.0,0.0,3952.700536052727,118.58101608158222
GreatBrit.,Belgium,2025-2030,0.0,20000.0,1000.0,1000.0,0.0,3334.731887433181,100.04195662299534
GreatBrit.,Belgium,2030-2035,0.0,20000.0,1000.0,1000.0,0.0,4466.80964062634,134.00428921879018
GreatBrit.,Belgium,2035-2040,0.0,20000.0,1000.0,1000.0,0.0,4163.726669506802,124.91180008520439
GreatBrit.,Belgium,2040-2045,0.0,20000.0,1000.0,1000.0,0.0,4524.591030778381,135.73773092335173
GreatBrit.,Belgium,2045-2050,0.0,20000.0,1000.0,1000.0,0.0,5180.026661079956,155.4007998323987
GreatBrit.,Belgium,2050-2055,0.0,20000.0,1000.0,1000.0,0.0,5264.815265269239,157.94445795807746
GreatBrit.,Belgium,2055-2060,0.0,20000.0,1000.0,1000.0,0.0,3857.8541170954404,115.7356235128634
Luxemb.,Belgium,2020-2025,0.0,20000.0,680.0,680.0,0.0,2340.4099773422718,70.21229932026839
Luxemb.,Belgium,2025-2030,499.99999609332093,20000.0,1179.999996093321,1180.0,0.0,8405.189663776628,252.15568991329783
Luxemb.,Belgium,2030-2035,499.99995883714786,20000.0,1679.9999549723605,1680.0,0.0,10550.841494008197,316.52524482024614
Luxemb.,Belgium,2035-2040,1.0106148886148876e-07,20000.0,1679.9999550765453,1680.0,0.0,7431.5022597026,222.9450677910778
Luxemb.,Belgium,2040-2045,1.3504956976836244e-07,20000.0,1679.9999551771582,1680.0,0.0,5913.833489712839,177.4150046913857
Luxemb.,Belgium,2045-2050,1.1937080648959092e-07,20000.0,1679.99995529092,1680.0,0.0,4582.353779988094,137.47061339964296
Luxemb.,Belgium,2050-2055,1.812153042108238e-07,20000.0,1679.9999554563747,1680.0,0.0,2732.083742391316,81.96251227173936
Luxemb.,Belgium,2055-2060,4.453283404175355e-05,20000.0,1680.0,1680.0,0.0,3092.336555994784,92.77009667984338
Netherlands,Belgium,2020-2025,0.0,20000.0,2400.0,2400.0,0.0,3372.3135315951463,101.16940594785444
Netherlands,Belgium,2025-2030,0.0,20000.0,2400.0,2400.0,0.0,4952.018334221159,148.5605500266351
