Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
NO2,Hydrorun-of-the-river,2025-2030,1957.9293770361935
NO2,Hydrorun-of-the-river,2030-2035,3607.3265717820623
NO2,Hydrorun-of-the-river,2035-2040,8056.444673958728
NO2,Hydrorun-of-the-river,2040-2045,0.11723418160995884
NO2,Hydrorun-of-the-river,2045-2050,6240.795961195834
NO2,Hydrorun-of-the-river,2050-2055,3737.9849173068815
NO2,Hydrorun-of-the-river,2055-2060,2384.463451107832
NO3,Hydrorun-of-the-river,2020-2025,0.0017954722589256244
NO3,Hydrorun-of-the-river,2025-2030,0.0011844431867962593
NO3,Hydrorun-of-the-river,2030-2035,0.034327497386075094
NO3,Hydrorun-of-the-river,2035-2040,0.08225347130971698
NO3,Hydrorun-of-the-river,2040-2045,0.1486917323458683
NO3,Hydrorun-of-the-river,2045-2050,207.774813848824
NO3,Hydrorun-of-the-river,2050-2055,0.27086896900424484
NO3,Hydrorun-of-the-river,2055-2060,0.2960549943369266
NO4,Hydrorun-of-the-river,2020-2025,0.031435690424456646
NO4,Hydrorun-of-the-river,2025-2030,0.034897846008186316
NO4,Hydrorun-of-the-river,2030-2035,0.0416798180237135
NO4,Hydrorun-of-the-river,2035-2040,0.0639978355186299
NO4,Hydrorun-of-the-river,2040-2045,0.1955916545918167
NO4,Hydrorun-of-the-river,2045-2050,0.21914846238285327
NO4,Hydrorun-of-the-river,2050-2055,0.3131416837343492
NO4,Hydrorun-of-the-river,2055-2060,0.3154326996649996
NO5,Hydrorun-of-the-river,2020-2025,0.02060470204212808
NO5,Hydrorun-of-the-river,2025-2030,105.49438277426539
NO5,Hydrorun-of-the-river,2030-2035,0.20226455641842475
NO5,Hydrorun-of-the-river,2035-2040,0.10493521167455128
NO5,Hydrorun-of-the-river,2040-2045,0.17128141808320915
NO5,Hydrorun-of-the-river,2045-2050,0.1968984185227286
NO5,Hydrorun-of-the-river,2050-2055,0.3098921584780716
NO5,Hydrorun-of-the-river,2055-2060,0.42738313525125515
GreatBrit.,Hydrorun-of-the-river,2020-2025,2803.5512752949708
GreatBrit.,Hydrorun-of-the-river,2025-2030,5291.954625206629
GreatBrit.,Hydrorun-of-the-river,2030-2035,2825.911229855988
GreatBrit.,Hydrorun-of-the-river,2035-2040,3437.974852237147
GreatBrit.,Hydrorun-of-the-river,2040-2045,5547.028095072771
GreatBrit.,Hydrorun-of-the-river,2045-2050,2711.8624147575924
GreatBrit.,Hydrorun-of-the-river,2050-2055,3994.130618668813
GreatBrit.,Hydrorun-of-the-river,2055-2060,3740.9064105947677
Croatia,Hydrorun-of-the-river,2020-2025,0.001417949912204616
Croatia,Hydrorun-of-the-river,2025-2030,0.002130364473418578
Croatia,Hydrorun-of-the-river,2030-2035,0.003987692283012234
Croatia,Hydrorun-of-the-river,2035-2040,0.009921168249259435
Croatia,Hydrorun-of-the-river,2040-2045,0.04639475184435171
Croatia,Hydrorun-of-the-river,2045-2050,0.08087496831888538
Croatia,Hydrorun-of-the-river,2050-2055,0.08113825929827387
Croatia,Hydrorun-of-the-river,2055-2060,0.11975617241013123
Lithuania,Hydrorun-of-the-river,2020-2025,0.0015002867904536138
Lithuania,Hydrorun-of-the-river,2025-2030,5.39109126294969
Lithuania,Hydrorun-of-the-river,2030-2035,17.25681993546602
Lithuania,Hydrorun-of-the-river,2035-2040,129.92153281851537
Lithuania,Hydrorun-of-the-river,2040-2045,0.07594454386343935
Lithuania,Hydrorun-of-the-river,2045-2050,0.14296028656003376
Lithuania,Hydrorun-of-the-river,2050-2055,0.23325932039725467
Lithuania,Hydrorun-of-the-river,2055-2060,0.3868138962542778
Macedonia,Hydrorun-of-the-river,2020-2025,0.0014227831563351568
Macedonia,Hydrorun-of-the-river,2025-2030,0.0012555152601097857
Macedonia,Hydrorun-of-the-river,2030-2035,0.004102088596104998
Macedonia,Hydrorun-of-the-river,2035-2040,0.01009064641084006
Macedonia,Hydrorun-of-the-river,2040-2045,0.08541036705499996
Macedonia,Hydrorun-of-the-river,2045-2050,0.10401479154171532
Macedonia,Hydrorun-of-the-river,2050-2055,9.20283743922996
Macedonia,Hydrorun-of-the-river,2055-2060,0.15372865899331659
Serbia,Hydrorun-of-the-river,2020-2025,0.002336346074491778
Serbia,Hydrorun-of-the-river,2025-2030,2936.200079995555
Serbia,Hydrorun-of-the-river,2030-2035,2584.3358806417027
Serbia,Hydrorun-of-the-river,2035-2040,5294.519351095085
Serbia,Hydrorun-of-the-river,2040-2045,956.9593960896492
Serbia,Hydrorun-of-the-river,2045-2050,1500.6891079419468
Serbia,Hydrorun-of-the-river,2050-2055,1523.335471610106
Serbia,Hydrorun-of-the-river,2055-2060,921.7982238622088
Slovakia,Hydrorun-of-the-river,2020-2025,0.0014881238143791226
Slovakia,Hydrorun-of-the-river,2025-2030,631.4170276868974
Slovakia,Hydrorun-of-the-river,2030-2035,0.0031770158108873846
Slovakia,Hydrorun-of-the-river,2035-2040,0.006495981690744256
Slovakia,Hydrorun-of-the-river,2040-2045,0.03222511848302918
Slovakia,Hydrorun-of-the-river,2045-2050,0.02983586844063212
Slovakia,Hydrorun-of-the-river,2050-2055,0.086347986614953
Slovakia,Hydrorun-of-the-river,2055-2060,0.0853662458647902
BosniaH,Hydrorun-of-the-river,2020-2025,0.0
BosniaH,Hydrorun-of-the-river,2025-2030,0.0
BosniaH,Hydrorun-of-the-river,2030-2035,0.0
BosniaH,Hydrorun-of-the-river,2035-2040,0.0
BosniaH,Hydrorun-of-the-river,2040-2045,0.0
BosniaH,Hydrorun-of-the-river,2045-2050,0.0
BosniaH,Hydrorun-of-the-river,2050-2055,0.0
BosniaH,Hydrorun-of-the-river,2055-2060,0.0
Austria,Windonshore,2020-2025,0.0014875543869393292
Austria,Windonshore,2025-2030,32.40948970403331
Austria,Windonshore,2030-2035,54.10892820032313
Austria,Windonshore,2035-2040,341.9192671223766
Austria,Windonshore,2040-2045,1338.0372062720537
Austria,Windonshore,2045-2050,1998.1068761380125
Austria,Windonshore,2050-2055,1833.2385772681016
Austria,Windonshore,2055-2060,1995.106809157225
BosniaH,Windonshore,2020-2025,0.0015131872244612578
BosniaH,Windonshore,2025-2030,0.0011269770815198132
BosniaH,Windonshore,2030-2035,3.6536524644661177
BosniaH,Windonshore,2035-2040,13.283381625248605
BosniaH,Windonshore,2040-2045,58.13669384090038
BosniaH,Windonshore,2045-2050,117.72687487939433
BosniaH,Windonshore,2050-2055,51.06088491147959
BosniaH,Windonshore,2055-2060,22.692993100716418
Belgium,Windonshore,2020-2025,0.0016037825602610027
Belgium,Windonshore,2025-2030,0.0009898702818158145
Belgium,Windonshore,2030-2035,0.01300510169826171
Belgium,Windonshore,2035-2040,0.04966871350310402
Belgium,Windonshore,2040-2045,0.20560221116526023
Belgium,Windonshore,2045-2050,0.2076222408280975
Belgium,Windonshore,2050-2055,168.69575013993676
Belgium,Windonshore,2055-2060,201.92657591790774
Bulgaria,Windonshore,2020-2025,0.002824346446480537
Bulgaria,Windonshore,2025-2030,0.002105039350622556
Bulgaria,Windonshore,2030-2035,0.1069407751751701
Bulgaria,Windonshore,2035-2040,2043.350685588442
Bulgaria,Windonshore,2040-2045,6717.465418329307
Bulgaria,Windonshore,2045-2050,8882.421888534676
Bulgaria,Windonshore,2050-2055,13745.599582973375
Bulgaria,Windonshore,2055-2060,12433.174405356465
Switzerland,Windonshore,2020-2025,0.0014400492202898537
Switzerland,Windonshore,2025-2030,0.4750999941445152
Switzerland,Windonshore,2030-2035,0.173046007078738
Switzerland,Windonshore,2035-2040,21.934598017098498
Switzerland,Windonshore,2040-2045,112.60109068594372
Switzerland,Windonshore,2045-2050,119.62254085599912
Switzerland,Windonshore,2050-2055,144.28945661043872
Switzerland,Windonshore,2055-2060,151.7560079035721
CzechR,Windonshore,2020-2025,0.0016643595870568914
CzechR,Windonshore,2025-2030,0.001177068274546232
CzechR,Windonshore,2030-2035,11.506351468661622
CzechR,Windonshore,2035-2040,0.058817462962847816
CzechR,Windonshore,2040-2045,6797.142976496727
CzechR,Windonshore,2045-2050,2713.661573018121
CzechR,Windonshore,2050-2055,14280.347001950904
CzechR,Windonshore,2055-2060,9971.849814664422
Germany,Windonshore,2020-2025,0.0016335729351612347
Germany,Windonshore,2025-2030,0.0010075723149970393
Germany,Windonshore,2030-2035,0.0907813861772223
