Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
Lithuania,Hydrorun-of-the-river,2030-2035,12.030732424093333
Lithuania,Hydrorun-of-the-river,2035-2040,55.24488094827294
Lithuania,Hydrorun-of-the-river,2040-2045,0.0848337012708971
Lithuania,Hydrorun-of-the-river,2045-2050,49.44823107925777
Lithuania,Hydrorun-of-the-river,2050-2055,14.742708395114814
Lithuania,Hydrorun-of-the-river,2055-2060,0.2528304997305958
Macedonia,Hydrorun-of-the-river,2020-2025,0.0007508226095793834
Macedonia,Hydrorun-of-the-river,2025-2030,0.0006790621600043346
Macedonia,Hydrorun-of-the-river,2030-2035,0.006573143580159621
Macedonia,Hydrorun-of-the-river,2035-2040,0.01213167919830295
Macedonia,Hydrorun-of-the-river,2040-2045,0.07316423503436391
Macedonia,Hydrorun-of-the-river,2045-2050,0.10029875684688981
Macedonia,Hydrorun-of-the-river,2050-2055,10.548433984438976
Macedonia,Hydrorun-of-the-river,2055-2060,0.24332229449034398
Serbia,Hydrorun-of-the-river,2020-2025,0.0011171587881463772
Serbia,Hydrorun-of-the-river,2025-2030,821.919393346613
Serbia,Hydrorun-of-the-river,2030-2035,2955.0189472153575
Serbia,Hydrorun-of-the-river,2035-2040,1140.1937406253494
Serbia,Hydrorun-of-the-river,2040-2045,2053.4649896077494
Serbia,Hydrorun-of-the-river,2045-2050,1701.9732538024184
Serbia,Hydrorun-of-the-river,2050-2055,2377.334355904861
Serbia,Hydrorun-of-the-river,2055-2060,2166.3776231230468
Slovakia,Hydrorun-of-the-river,2020-2025,0.000852166868777349
Slovakia,Hydrorun-of-the-river,2025-2030,0.0005767163108218091
Slovakia,Hydrorun-of-the-river,2030-2035,0.006818508759640116
Slovakia,Hydrorun-of-the-river,2035-2040,0.005766064716218304
Slovakia,Hydrorun-of-the-river,2040-2045,0.02620332914948298
Slovakia,Hydrorun-of-the-river,2045-2050,0.04844930781577862
Slovakia,Hydrorun-of-the-river,2050-2055,0.055004784288572944
Slovakia,Hydrorun-of-the-river,2055-2060,0.09419697438387588
BosniaH,Hydrorun-of-the-river,2020-2025,0.0
BosniaH,Hydrorun-of-the-river,2025-2030,0.0
BosniaH,Hydrorun-of-the-river,2030-2035,0.0
BosniaH,Hydrorun-of-the-river,2035-2040,0.0
BosniaH,Hydrorun-of-the-river,2040-2045,0.0
BosniaH,Hydrorun-of-the-river,2045-2050,0.0
BosniaH,Hydrorun-of-the-river,2050-2055,0.0
BosniaH,Hydrorun-of-the-river,2055-2060,0.0
Austria,Windonshore,2020-2025,0.0008191843888074472
Austria,Windonshore,2025-2030,0.0005948190165102637
Austria,Windonshore,2030-2035,181.65321245627504
Austria,Windonshore,2035-2040,234.50639261423996
Austria,Windonshore,2040-2045,1543.7073078962078
Austria,Windonshore,2045-2050,2783.754409674058
Austria,Windonshore,2050-2055,2258.831746609554
Austria,Windonshore,2055-2060,3022.098229201223
BosniaH,Windonshore,2020-2025,0.0008110273417780995
BosniaH,Windonshore,2025-2030,0.0005798278328214848
BosniaH,Windonshore,2030-2035,0.7071546559556159
BosniaH,Windonshore,2035-2040,0.7877423073403219
BosniaH,Windonshore,2040-2045,94.10898429003663
BosniaH,Windonshore,2045-2050,198.10838637235088
BosniaH,Windonshore,2050-2055,131.55706180712124
BosniaH,Windonshore,2055-2060,68.59939180514165
Belgium,Windonshore,2020-2025,0.0007718730214868777
Belgium,Windonshore,2025-2030,0.0005639945167504175
Belgium,Windonshore,2030-2035,0.007541019883357928
Belgium,Windonshore,2035-2040,0.01053725851265719
Belgium,Windonshore,2040-2045,20.032509130102884
Belgium,Windonshore,2045-2050,26.824688286768563
Belgium,Windonshore,2050-2055,152.48004734860635
Belgium,Windonshore,2055-2060,55.51184352134776
Bulgaria,Windonshore,2020-2025,0.0016908676862987242
Bulgaria,Windonshore,2025-2030,0.0011465029038917687
Bulgaria,Windonshore,2030-2035,59.57147274851277
Bulgaria,Windonshore,2035-2040,2074.9908976254073
Bulgaria,Windonshore,2040-2045,14506.204765420061
Bulgaria,Windonshore,2045-2050,11530.096715662048
